cod_otto;clusters
662496;0
673622;0
673616;0
673588;0
673586;0
673492;0
673484;0
673476;0
673474;0
673464;0
673462;0
673444;0
673442;0
673438;0
673434;0
673422;0
673414;0
673278;0
672982;0
669914;0
669912;0
669884;0
673682;0
669864;0
673814;0
673854;0
674694;0
674626;0
674498;0
674494;0
674492;0
674478;0
674468;0
674464;0
674446;0
674288;0
674286;0
674282;0
674276;0
674274;0
674272;0
674262;0
674184;0
674182;0
674174;0
674164;0
673944;0
673816;0
674722;0
669862;0
669834;0
668484;0
668478;0
668476;0
668352;0
668222;0
668126;0
667792;0
667742;0
667722;0
667684;0
667646;0
667634;0
667596;0
667524;0
667514;0
667432;0
667426;0
667386;0
667382;0
667848;0
667148;0
668486;0
669858;0
668494;0
668718;0
669832;0
669826;0
669822;0
669818;0
669816;0
669762;0
669692;0
669682;0
669622;0
669538;0
669522;0
669514;0
669452;0
669428;0
669426;0
669424;0
668768;0
668746;0
668734;0
668732;0
668726;0
668498;0
674744;0
674784;0
674812;0
676934;0
676922;0
676916;0
676896;0
676884;0
676878;0
676846;0
676844;0
676836;0
676814;0
676796;0
676766;0
676764;0
676762;0
676756;0
676752;0
676724;0
676722;0
676692;0
676676;0
676644;0
677214;0
676626;0
677264;0
677298;0
677766;0
677764;0
677744;0
677728;0
677726;0
677716;0
677668;0
677666;0
677664;0
677662;0
677622;0
677618;0
677614;0
677518;0
677498;0
677496;0
677482;0
677466;0
677452;0
677414;0
677324;0
677296;0
676568;0
676566;0
676544;0
675468;0
675228;0
675226;0
675198;0
675184;0
674992;0
674988;0
674986;0
674984;0
674982;0
674966;0
674962;0
674954;0
674942;0
674934;0
674896;0
674872;0
674848;0
674818;0
674816;0
674814;0
675486;0
675488;0
675862;0
675648;0
676432;0
676418;0
676386;0
676366;0
676362;0
676334;0
676314;0
676214;0
676212;0
676176;0
667114;0
675956;0
675868;0
675866;0
675856;0
675854;0
675852;0
675848;0
675846;0
675788;0
675786;0
675748;0
675886;0
677836;0
667112;0
666944;0
662278;0
662272;0
662266;0
662264;0
662262;0
662258;0
662256;0
662234;0
662232;0
662226;0
662222;0
661422;0
672532;0
649696;0
649436;0
649378;0
649326;0
649322;0
649278;0
649276;0
649272;0
662292;0
649126;0
662296;0
672624;0
662846;0
662818;0
662816;0
662814;0
662812;0
662772;0
662756;0
662736;0
662734;0
662574;0
662572;0
662556;0
662512;0
662482;0
662436;0
662432;0
662418;0
662416;0
662414;0
662412;0
662366;0
662298;0
662862;0
649124;0
648834;0
648228;0
648226;0
648222;0
648216;0
648214;0
648212;0
648168;0
648164;0
646962;0
646948;0
646946;0
646786;0
646762;0
646298;0
646294;0
646256;0
646254;0
646238;0
646236;0
646234;0
646226;0
648234;0
648918;0
648236;0
648434;0
648826;0
648712;0
648698;0
648696;0
648694;0
648686;0
648684;0
648678;0
648644;0
648642;0
648638;0
648628;0
648564;0
648548;0
648532;0
648528;0
648524;0
648522;0
648514;0
648468;0
648448;0
648286;0
662876;0
662914;0
663658;0
666718;0
666716;0
666714;0
666696;0
666688;0
666686;0
666676;0
666668;0
666646;0
666642;0
666638;0
666634;0
666612;0
666568;0
666548;0
666542;0
666514;0
666512;0
666488;0
666486;0
666468;0
666722;0
666466;0
666728;0
666734;0
666914;0
666912;0
666898;0
666896;0
666894;0
666892;0
666876;0
666868;0
666866;0
666846;0
666844;0
666836;0
666834;0
666828;0
666826;0
666822;0
666818;0
666794;0
666792;0
666788;0
666748;0
666732;0
666452;0
666448;0
666446;0
665182;0
665172;0
664974;0
664898;0
664788;0
664786;0
664784;0
664644;0
664632;0
664618;0
672718;0
672712;0
664282;0
664256;0
664252;0
664186;0
664176;0
664162;0
664156;0
664142;0
663858;0
665194;0
665322;0
665344;0
665532;0
666436;0
666434;0
666422;0
666414;0
666382;0
666324;0
666294;0
666248;0
666242;0
666238;0
666946;0
666228;0
666224;0
666222;0
666198;0
666182;0
666154;0
666122;0
666112;0
665746;0
665622;0
665576;0
666226;0
646218;0
677844;0
677862;0
674258;0
674252;0
673962;0
673942;0
673296;0
673294;0
673292;0
673282;0
673272;0
673268;0
673264;0
673218;0
672676;0
672486;0
672458;0
672276;0
672262;0
671938;0
672238;0
672236;0
671952;0
674434;0
671942;0
674546;0
674638;0
676238;0
676236;0
676234;0
676182;0
676144;0
676142;0
675978;0
675958;0
675726;0
675616;0
675432;0
675412;0
675384;0
675372;0
675224;0
674876;0
674762;0
674736;0
674726;0
674662;0
674642;0
674548;0
676318;0
671878;0
671478;0
669492;0
669486;0
669484;0
669482;0
669474;0
667898;0
667834;0
667146;0
667144;0
666988;0
666924;0
666918;0
666916;0
666862;0
666856;0
666854;0
666852;0
666798;0
666738;0
666648;0
666494;0
669496;0
671874;0
669498;0
669568;0
671476;0
671474;0
671184;0
671132;0
669986;0
669982;0
669974;0
669966;0
669964;0
669936;0
669934;0
669924;0
669922;0
669892;0
669878;0
669874;0
669872;0
669852;0
669844;0
669842;0
669814;0
669566;0
676332;0
676336;0
676338;0
686682;0
686646;0
686644;0
686626;0
686566;0
686564;0
686526;0
686514;0
686488;0
686334;0
686264;0
686262;0
686228;0
682728;0
682724;0
682722;0
682694;0
682692;0
682672;0
682628;0
682626;0
686748;0
679628;0
686762;0
686836;0
689986;0
689984;0
689728;0
689694;0
689688;0
689686;0
689678;0
689592;0
689586;0
689558;0
689552;0
689446;0
689356;0
686994;0
686988;0
686958;0
686956;0
686954;0
686928;0
686926;0
686844;0
686834;0
679512;0
679484;0
679482;0
676868;0
676866;0
676864;0
676832;0
676828;0
676826;0
676768;0
676822;0
676816;0
676746;0
676738;0
676726;0
676658;0
676564;0
676452;0
676416;0
676414;0
676368;0
676352;0
676344;0
676342;0
676886;0
676952;0
676956;0
676962;0
679474;0
679462;0
679458;0
679456;0
679454;0
679452;0
677996;0
677894;0
677872;0
677786;0
666236;0
677688;0
677652;0
677648;0
677646;0
677612;0
677546;0
677446;0
677442;0
676982;0
676976;0
676972;0
677682;0
677846;0
666262;0
666166;0
686578;0
686538;0
686458;0
686456;0
686454;0
686452;0
686438;0
686436;0
686434;0
686418;0
686348;0
686346;0
686344;0
686212;0
682972;0
682968;0
682954;0
682952;0
682686;0
682682;0
682678;0
686582;0
682624;0
686584;0
686638;0
689476;0
689472;0
686974;0
686942;0
686922;0
686876;0
686864;0
686862;0
686816;0
686814;0
686812;0
686772;0
686766;0
686764;0
686758;0
686752;0
686744;0
686724;0
686718;0
686712;0
686642;0
686586;0
689484;0
682622;0
682616;0
679766;0
679764;0
679664;0
679654;0
679652;0
679634;0
679586;0
679464;0
679424;0
679422;0
679418;0
679416;0
679412;0
679398;0
679386;0
679362;0
679114;0
678952;0
678912;0
678126;0
677896;0
679786;0
682618;0
679794;0
679814;0
682614;0
682592;0
682518;0
682512;0
682498;0
682496;0
682494;0
682476;0
682474;0
682472;0
682458;0
682456;0
682454;0
679844;0
679842;0
679838;0
679832;0
679828;0
679826;0
679822;0
679816;0
679798;0
689492;0
689494;0
689516;0
648754;0
648734;0
648724;0
648648;0
648588;0
648428;0
648418;0
646942;0
646934;0
646338;0
646214;0
645616;0
645528;0
645142;0
644972;0
644894;0
644674;0
644672;0
644658;0
644656;0
644642;0
648772;0
644636;0
648774;0
648838;0
666134;0
665828;0
665132;0
664128;0
662918;0
662912;0
662558;0
662424;0
662422;0
652916;0
652912;0
649758;0
649756;0
649716;0
649424;0
649552;0
649182;0
648872;0
648854;0
648852;0
648848;0
648776;0
644634;0
644626;0
644622;0
637886;0
637884;0
637882;0
689966;0
689964;0
689962;0
689944;0
689942;0
689932;0
689928;0
689914;0
689912;0
689866;0
689698;0
689696;0
689672;0
689668;0
689612;0
689588;0
689566;0
689538;0
637888;0
637896;0
637952;0
637962;0
644468;0
645164;0
644324;0
644322;0
643728;0
643652;0
642658;0
642618;0
643298;0
642856;0
666246;0
642624;0
642218;0
642216;0
641874;0
641674;0
641648;0
641612;0
641136;0
641134;0
638642;0
638134;0
642224;0
646216;0
689998;0
644484;0
643872;0
671678;0
671692;0
643862;0
643856;0
643846;0
671676;0
643844;0
649738;0
645638;0
649376;0
645694;0
645696;0
645784;0
669944;0
671866;0
671674;0
642138;0
669958;0
641872;0
641894;0
641896;0
644274;0
641898;0
642142;0
642122;0
644258;0
669946;0
642128;0
642132;0
645482;0
645484;0
644262;0
645218;0
641886;0
671228;0
671276;0
671954;0
671272;0
671958;0
643164;0
643162;0
671936;0
643128;0
642998;0
671182;0
672166;0
642996;0
671176;0
666266;0
672134;0
671446;0
671456;0
671464;0
643478;0
643476;0
643474;0
643472;0
643444;0
671912;0
671914;0
643292;0
671498;0
671496;0
671916;0
671918;0
671492;0
671922;0
671482;0
644478;0
644482;0
641684;0
641682;0
637958;0
644938;0
644934;0
644926;0
644922;0
644918;0
644952;0
644914;0
644858;0
638268;0
637946;0
644852;0
644838;0
644834;0
644884;0
637986;0
644954;0
637996;0
645222;0
638132;0
645212;0
645162;0
644978;0
638174;0
669992;0
638122;0
669994;0
669976;0
645238;0
644958;0
645434;0
637998;0
644956;0
644822;0
672234;0
645326;0
644818;0
641154;0
637924;0
641222;0
644616;0
641272;0
641542;0
641146;0
641546;0
637874;0
641666;0
644498;0
641678;0
644496;0
644492;0
645438;0
671236;0
644654;0
644676;0
644814;0
637944;0
644812;0
644768;0
644766;0
637942;0
671146;0
671148;0
645414;0
671158;0
671166;0
638294;0
638298;0
644678;0
638496;0
645328;0
642976;0
669988;0
642884;0
642596;0
662582;0
642672;0
666244;0
642674;0
642586;0
662586;0
672254;0
662894;0
642676;0
642568;0
642678;0
642612;0
642588;0
642684;0
642696;0
642576;0
672298;0
642766;0
642694;0
642692;0
642686;0
672444;0
642868;0
642752;0
642688;0
642716;0
642914;0
642584;0
672284;0
672294;0
642862;0
642852;0
642736;0
666664;0
642846;0
642844;0
672252;0
642578;0
642738;0
642892;0
642666;0
642742;0
642616;0
642626;0
642634;0
672422;0
642636;0
674198;1
686818;1
686854;1
674142;1
641638;1
669564;1
674244;1
679812;1
674144;1
674242;1
642926;1
644412;1
667566;1
644456;1
667692;1
667666;1
644472;1
669524;1
673258;1
669542;1
673254;1
673222;1
666652;1
669546;1
644474;1
679836;1
641692;1
667696;1
641698;1
689648;1
686872;1
649632;1
649374;1
649336;1
649318;1
649316;1
649314;1
649312;1
649292;1
649236;1
649232;1
649224;1
649222;1
649634;1
649218;1
649216;1
686916;1
648842;1
679694;1
642266;1
679692;1
642268;1
642274;1
648766;1
648764;1
648756;1
674958;1
686914;1
642124;1
649638;1
649652;1
686874;1
642126;1
674292;1
674294;1
642582;1
674296;1
686878;1
649764;1
649762;1
686882;1
674422;1
674426;1
649642;1
674428;1
674432;1
686886;1
686894;1
649754;1
649736;1
674462;1
649728;1
649726;1
649724;1
686912;1
649722;1
674496;1
686884;1
679762;1
673232;1
641476;1
676228;1
686414;1
676196;1
676188;1
686416;1
666584;1
676178;1
676146;1
676118;1
686422;1
686412;1
666636;1
644944;1
686432;1
644942;1
676114;1
675982;1
675976;1
675974;1
675972;1
682798;1
675968;1
676116;1
666552;1
686368;1
666546;1
686214;1
676562;1
686278;1
666444;1
686286;1
642728;1
676528;1
676526;1
676518;1
642726;1
676412;1
676378;1
686362;1
686364;1
686366;1
676328;1
676326;1
644964;1
666516;1
666518;1
676324;1
676272;1
676242;1
682796;1
641478;1
675926;1
675744;1
671144;1
686588;1
682612;1
686612;1
674148;1
674146;1
673966;1
686652;1
686654;1
673926;1
671142;1
686662;1
667682;1
642842;1
673242;1
679682;1
673216;1
686668;1
686686;1
686688;1
671116;1
641474;1
686666;1
671126;1
671112;1
667116;1
675736;1
675732;1
682794;1
675626;1
675456;1
675436;1
682792;1
675434;1
675428;1
675426;1
675424;1
682786;1
682784;1
675422;1
682742;1
686482;1
675414;1
682684;1
686486;1
686576;1
675362;1
675334;1
675332;1
675752;1
679678;1
679674;1
648748;1
644134;1
644126;1
644124;1
644122;1
677232;1
677234;1
677236;1
679564;1
677254;1
677322;1
677328;1
677364;1
677368;1
643644;1
643622;1
677394;1
677396;1
677418;1
677432;1
677462;1
679562;1
677472;1
679552;1
677474;1
677476;1
677216;1
677212;1
677184;1
677182;1
676584;1
644422;1
676594;1
644416;1
676646;1
679638;1
676698;1
689178;1
689196;1
689362;1
679614;1
689366;1
677494;1
689368;1
676782;1
676794;1
676834;1
679574;1
679572;1
676894;1
676912;1
689384;1
676926;1
679566;1
676988;1
676996;1
679582;1
676582;1
679548;1
643172;1
677922;1
677942;1
679354;1
677958;1
677962;1
677966;1
677978;1
677982;1
678172;1
689618;1
678244;1
678366;1
641616;1
678916;1
678976;1
679112;1
679248;1
689946;1
679156;1
679158;1
679162;1
679164;1
689922;1
679198;1
679242;1
677916;1
677914;1
677912;1
679372;1
677522;1
677524;1
677526;1
642962;1
677556;1
677582;1
677584;1
642622;1
677616;1
677658;1
689466;1
679382;1
689388;1
677746;1
679378;1
679376;1
642264;1
677812;1
677814;1
677816;1
677818;1
677822;1
677824;1
679374;1
677826;1
677828;1
642316;1
679642;1
679644;1
644464;1
675358;1
675382;1
675442;1
675446;1
675448;1
675462;1
646998;1
675484;1
675492;1
675494;1
646994;1
646932;1
646564;1
679662;1
675562;1
675564;1
675566;1
675618;1
675622;1
675624;1
646368;1
642312;1
675646;1
679658;1
646334;1
675356;1
675354;1
675352;1
675348;1
648746;1
686918;1
689622;1
648744;1
679672;1
648738;1
648736;1
642278;1
648732;1
648722;1
648718;1
648716;1
646332;1
675162;1
642284;1
648498;1
648494;1
675196;1
648492;1
648422;1
648414;1
648412;1
675318;1
675342;1
675344;1
675346;1
679668;1
675722;1
646328;1
675738;1
675998;1
676112;1
642574;1
676124;1
676126;1
676128;1
676132;1
676134;1
676136;1
676138;1
676148;1
676152;1
675994;1
676154;1
676164;1
676216;1
676222;1
645296;1
645292;1
676278;1
676322;1
676396;1
679648;1
644628;1
679646;1
644466;1
676162;1
648752;1
675992;1
675964;1
675742;1
675762;1
646322;1
646248;1
646246;1
675784;1
675794;1
675796;1
646198;1
675812;1
675814;1
675816;1
675966;1
675818;1
686946;1
675844;1
646192;1
675912;1
675914;1
675916;1
675918;1
675922;1
675924;1
675932;1
675954;1
675962;1
686944;1
675822;1
646122;1
679224;1
686838;1
649334;1
649332;1
686846;1
686848;1
686866;1
649324;1
686924;1
649342;1
666662;1
689422;1
666626;1
686962;1
677566;1
649284;1
686964;1
686966;1
649282;1
686952;1
649346;1
646972;1
646976;1
686822;1
686824;1
649418;1
686826;1
648116;1
677638;1
649416;1
649414;1
677636;1
677634;1
649412;1
677632;1
649392;1
649384;1
672244;1
646992;1
686832;1
646978;1
677628;1
686968;1
682758;1
686216;1
686986;1
649248;1
646342;1
646318;1
649246;1
646316;1
646314;1
646312;1
649244;1
646344;1
689646;1
677444;1
689674;1
649214;1
649212;1
646292;1
689676;1
677436;1
649156;1
649242;1
677492;1
649252;1
649254;1
649268;1
666624;1
649266;1
646562;1
646384;1
646378;1
686992;1
646374;1
677544;1
686996;1
649264;1
677542;1
649262;1
646362;1
646352;1
649258;1
649256;1
646348;1
646346;1
686982;1
686696;1
648134;1
682756;1
648456;1
648454;1
686892;1
679522;1
662364;1
679542;1
648444;1
686568;1
648462;1
686614;1
679544;1
679546;1
679592;1
686532;1
664138;1
679594;1
679616;1
679622;1
686616;1
686516;1
679226;1
679518;1
686534;1
679328;1
679446;1
648476;1
679296;1
679294;1
671114;1
679292;1
679284;1
648482;1
679278;1
648484;1
686896;1
679276;1
679514;1
679516;1
645646;1
679264;1
679262;1
664164;1
679624;1
662228;1
679626;1
649674;1
686676;1
677782;1
649672;1
686424;1
686684;1
648188;1
686692;1
648184;1
682752;1
648182;1
649646;1
686694;1
648162;1
677692;1
649644;1
682754;1
648142;1
649594;1
649676;1
645432;1
677788;1
686656;1
662224;1
677994;1
679686;1
676648;1
677968;1
686618;1
645454;1
682632;1
686622;1
682648;1
686888;1
682714;1
649698;1
682718;1
649694;1
649692;1
686698;1
686664;1
686648;1
686658;1
649152;1
686842;1
686382;1
686442;1
686428;1
646244;1
686426;1
686396;1
686388;1
686386;1
686384;1
686218;1
686338;1
686332;1
676958;1
686328;1
686522;1
646242;1
686324;1
648758;1
648762;1
676968;1
686322;1
686316;1
648784;1
648786;1
686296;1
686292;1
686258;1
686256;1
686254;1
648922;1
648924;1
648742;1
648928;1
676954;1
637956;1
645224;1
676712;1
645226;1
676718;1
646124;1
648542;1
646126;1
676784;1
676786;1
686498;1
676788;1
686496;1
686494;1
645242;1
666116;1
648554;1
686492;1
645244;1
645246;1
645248;1
646136;1
648624;1
689994;1
686464;1
689992;1
686462;1
676942;1
676944;1
676946;1
676948;1
646128;1
686244;1
679396;1
686222;1
649142;1
649118;1
676984;1
649116;1
677424;1
677142;1
677162;1
646272;1
649136;1
677146;1
677426;1
646274;1
686238;1
677422;1
676986;1
677164;1
677238;1
643888;2
678972;2
675668;2
675666;2
643886;2
643672;2
675642;2
675652;2
675654;2
643228;2
644312;2
675632;2
675636;2
644162;2
645688;2
678974;2
645692;2
644164;2
645698;2
642226;2
642238;2
642228;2
642234;2
675568;2
645786;2
644166;2
642236;2
643674;2
675634;2
677944;2
675676;2
678362;2
677918;2
678958;2
642476;2
678948;2
642474;2
642244;2
678944;2
682666;2
678478;2
642466;2
678934;2
642464;2
652436;2
643654;2
643638;2
643634;2
643656;2
643658;2
642478;2
642986;2
675692;2
675694;2
643676;2
678492;2
675698;2
652628;2
652524;2
675686;2
678966;2
643662;2
642484;2
642422;2
646276;2
642242;2
642482;2
642334;2
678484;2
643678;2
644148;2
645682;2
642286;2
642486;2
679486;2
648496;2
678994;2
642166;2
678146;2
642488;2
679498;2
675216;2
675218;2
648488;2
678992;2
645644;2
642294;2
678142;2
675214;2
649164;2
662516;2
678174;2
649144;2
648474;2
645626;2
644128;2
649162;2
642444;2
642496;2
642156;2
644138;2
679128;2
642162;2
679124;2
678178;2
642282;2
648478;2
642492;2
642164;2
678258;2
644158;2
642442;2
675264;2
645672;2
665696;2
645674;2
675444;2
645676;2
648128;2
645678;2
645664;2
648126;2
648124;2
642426;2
643698;2
648122;2
645832;2
648118;2
678494;2
678516;2
644144;2
645658;2
645656;2
675268;2
675298;2
648282;2
642984;2
648152;2
678124;2
675324;2
675326;2
675328;2
678122;2
675336;2
678118;2
648146;2
644142;2
642428;2
645648;2
645652;2
678128;2
645686;2
642246;2
645662;2
642526;2
649364;2
678562;2
649362;2
678626;2
678624;2
641624;2
643686;2
677586;2
641626;2
643684;2
643682;2
641628;2
641642;2
649338;2
642424;2
644428;2
644418;2
643224;2
644528;2
642372;2
678386;2
676388;2
682766;2
642374;2
643688;2
649382;2
642382;2
642376;2
678668;2
642378;2
644572;2
642522;2
644566;2
644564;2
678392;2
642452;2
642396;2
648472;2
642384;2
641646;2
642412;2
643264;2
644328;2
642386;2
642392;2
644296;2
676696;2
686232;2
678436;2
678438;2
644316;2
641812;2
644314;2
641814;2
678456;2
644318;2
642414;2
678464;2
644332;2
642418;2
678394;2
644414;2
641644;2
644386;2
644384;2
678396;2
644366;2
678398;2
643238;2
644364;2
678472;2
644338;2
643648;2
644336;2
644334;2
643294;2
642516;2
645684;2
642368;2
642362;2
642992;2
642994;2
642982;2
642258;2
678364;2
645892;2
644216;2
642256;2
644218;2
644222;2
643696;2
644224;2
643694;2
642262;2
644226;2
642314;2
642394;2
644282;2
642462;2
644214;2
642336;2
642338;2
652412;2
641652;2
642248;2
678476;2
642252;2
649682;2
649688;2
642254;2
645498;2
645496;2
642344;2
678474;2
645494;2
649684;2
644212;2
649542;2
642318;2
642322;2
642468;2
645266;2
678384;2
645264;2
645262;2
678818;2
642458;2
643146;2
642346;2
638934;2
642514;2
644742;2
644288;2
642454;2
643692;2
643486;2
642348;2
645294;2
642398;2
642356;2
644284;2
642324;2
649528;2
676156;2
645488;2
649526;2
649518;2
678882;2
645468;2
645466;2
645464;2
645462;2
678874;2
642326;2
642328;2
678868;2
644286;2
642366;2
649146;2
675696;2
645444;2
667726;2
667744;2
664996;2
667784;2
667786;2
667788;2
664994;2
667822;2
667828;2
641164;2
646286;2
641168;2
641242;2
641244;2
671198;2
668224;2
668226;2
668228;2
668244;2
671196;2
668294;2
668296;2
641224;2
682744;2
667686;2
682746;2
667322;2
667344;2
667346;2
667348;2
667362;2
644754;2
667384;2
667388;2
665362;2
644738;2
667438;2
667456;2
667466;2
667482;2
667492;2
646278;2
645422;2
665282;2
645424;2
646282;2
646284;2
645426;2
682778;2
668298;2
641246;2
668324;2
668346;2
667888;2
667886;2
646968;2
641662;2
667698;2
645442;2
642276;2
644556;2
644554;2
644552;2
645446;2
669448;2
644548;2
667342;2
669464;2
669468;2
647852;2
667334;2
667332;2
667328;2
667326;2
667324;2
647854;2
667892;2
667318;2
667894;2
641658;2
644614;2
668364;2
641426;2
664928;2
644598;2
644594;2
644592;2
644584;2
677564;2
668696;2
644582;2
644578;2
644576;2
644574;2
644562;2
644558;2
641632;2
641636;2
641654;2
669478;2
641656;2
669444;2
668286;2
667896;2
667312;2
667296;2
667278;2
666196;2
646142;2
638246;2
638248;2
645258;2
646174;2
666176;2
645878;2
645876;2
645282;2
666146;2
645284;2
645286;2
645858;2
645288;2
665692;2
665686;2
665684;2
665682;2
666764;2
638264;2
675684;2
675682;2
638244;2
675678;2
645256;2
638234;2
666388;2
638164;2
666386;2
667364;2
645228;2
666378;2
666376;2
666372;2
